	gini	secpay  gdp  hetero	democrat    union
 France       	32.7	1.231	21175	95			1	10
 Britain      	34.6	1.211	20336	92			1	39
 WestGermany  	30	1.149	22169	96			1	32
 Italy        	34.6	1.226	20585	97.3333333333333	1	34
 Netherlands  	31.5	1.328	22176	95.6666666666667	1	24
 Denmark      	21.7	1.248	24217	98.3333333333333	1	76
 Belgium      	27.2	1.302	23223	82.3333333333333	1	53
 Spain        	32.5	1.286	16212	90			1	11
 Ireland      	35.9	1.289	21482	98.6666666666667	1	42
 USA          	36.9	1.148	29605	88.3333333333333	1	15
 Canada       	28.6	1.176	23582	85			1	30
 Japan        	24.9	1.284	23257	99.3333333333333	1	26
 Mexico       	53.7	1.211	7704	86.6666666666667	0	30
 Hungary      	28.9	1.115	10232	97.3333333333333	0	 NA
 Australia    	31.7	1.179	22451	96			1	45
 Norway       	24.2	1.441	26342	97.6666666666667	1	54
 Sweden       	25	1.401	20659	95.6666666666667	1	81
 Finland      	22.6	1.354	20847	97.6666666666667	1	72
 Switzerland  	36.1	1.149	25512	87.3333333333333	1	28
 Brazil       	60.1	1.232	6625	82.6666666666667	0	30
 Nigeria      	45	1.196	739	68.3333333333333	0	5
 Chile        	56.5	1.361	8787	96.6666666666667	0	15
 Belarus      	28.8	1.075	6319	92.3333333333333	0	 NA
 India        	29.7	1.226	2077	70			1	5
 CzechRepublic	26.6	1.557	12362	97.6666666666667	0	 NA
 Slovenia     	29.2	1.108	14293	97			0	 NA
 Bulgaria     	30.8	1.164	4809	91			0	 NA
 Romania      	28.2	1.133	5648	91.6666666666667	0	 NA
 China        	41.5	1.131	3105	95.6666666666667	0	 NA
 Taiwan       	27.7	1.075	12090	94.6666666666667	0	43
 Portugal     	35.6	1.265	14701	99.3333333333333	1	29
 Austria      	23.1	1.112	23166	98			1	44
 Turkey       	41.5	1.207	6422	85			0	16
 Lithuania    	33.6	1.096	6436	89.3333333333333	0	 NA
 Latvia       	28.5	1.07	5728	70			0	 NA
 Estonia      	35.4	1.054	7682	74			0	NA	
 Ukraine      	47.3	1.085	3194	91			0	 NA
 Russia       	48	1.076	6460	89.3333333333333	0	 NA
 Peru         	46.2	1.175	4282	74.6666666666667	1	15
 Venezuela    	46.8	1.208	5808	95			1	30
 Uruguay      	42.3	1.273	8623	98.6666666666667	0	5
 Moldova      	34.4	1.127	1947	87.6666666666667	0	 NA
 Georgia      	37.1	1.086	3353	86.6666666666667	0	 NA
 Armenia      	44.4	1.061	2072	96			0	 NA
 Azerbaijan   	36	1.07	2175	89.3333333333333	0	 NA
 DominicanRep 	50.5	1.089	4598	91			1	5
 Bangladesh   	28.3	1.057	1361	93.6666666666667	0	5
 Croatia      	29	1.092	6749	85			0	NA
 Slovakia     	19.5	1.622	9699	94			0	 NA
