id,regulated,numemployees,numborrowersk,avgloanbal,femaleperc,grossloanportk,netopincomek,selfsuff
1,0,72,12.771,474.9855662,1,6078.166768,687.5705125,1.3375
2,0,20,3.844,558.8065484,0.873,2150.700716,302.5468338,1.6825
3,0,65,12.726,608.6999903,0.75,7753.818054,263.1289924,1.1043
4,1,981,151.114,4294.419718,0.472,648942.4269,35079.26198,1.3957
5,1,512,44.055,5099.109754,0.495,224623.5281,20461.84455,1.8419
6,1,259,26.989,3213.137653,0.7,86735.68732,3970.705339,1.2738
7,1,186,25.58,3666.170105,0.487,93763.23246,4097.477627,1.2304
8,1,579,81.649,4740.671161,,387109.9995,18927.05559,1.3606
9,1,275,28.809,5438.385159,0.496,156676.7072,7443.607992,1.4098
10,1,119,10.334,3348.847815,0.412,34608.92121,761.4086474,1.0742
11,1,119,10.334,3348.847815,0.412,34608.92121,761.4086474,1.0742
12,1,61,9.25,1544.700959,0.354,14288.29228,670.0333809,1.234
13,1,227,37.357,3109.359295,0.438,116191.3544,6828.34593,1.45
14,0,42,5.669,470.9940908,0.847,2671.364726,52.33399789,1.0432
15,1,97,17.29,1219.395718,0.528,21067.35214,174.5817921,1.0452
16,1,334,47.558,2618.407827,0.518,124507.6032,4756.163751,1.2221
17,1,366,36.022,2574.501598,,92771.05348,5526.732628,1.3534
18,1,110,13.372,2975.64487,0.548,39800.60325,1267.994191,1.186
19,1,44,3.11,1648.891414,0.536,5128.221831,32.95483019,1.0134
20,1,64,8.929,1157.52785,0.622,10336.70375,565.6751331,1.2378
21,1,108,9.776,2245.204882,0.564,21951.54376,260.1758669,1.0666
22,1,278,30.36,1939.857018,0.51,58895.81133,1339.191934,1.1157
23,1,227,19.602,1953.680728,0.515,38316.65913,988.1083978,1.1176
24,1,960,180.885,2065.163629,0.511,373711.7662,21059.17487,1.3217
25,0,91,10.988,373.2029448,0.894,4106.587499,184.1808518,1.0673
26,0,27,2.815,2640.360941,0.341,7429.905838,809.9053766,1.4709
27,0,24,2.085,908.9892693,0.6,1895.470951,152.558387,1.1306
28,1,2862,361.085,4364.459182,0.678,1575627.645,74060.46807,1.2705
29,0,57,13.373,457.0239271,1,6122.096945,623.7024533,1.2653
30,0,129,19.47,752.3931027,0.763,14667.12919,370.7674743,1.0556
31,0,173,39.728,427.087862,1,16941.06072,2721.126481,1.5129
